,Year/Month,Diseases,Case number,Disease_cn,Disease_en
344,2022-06-30,白喉 Diphtheria,0,白喉,Diphtheria
345,2022-07-31,白喉 Diphtheria,1,白喉,Diphtheria
346,2022-08-31,白喉 Diphtheria,0,白喉,Diphtheria
347,2022-09-30,白喉 Diphtheria,0,白喉,Diphtheria
348,2022-10-31,白喉 Diphtheria,0,白喉,Diphtheria
349,2022-11-30,白喉 Diphtheria,0,白喉,Diphtheria
350,2022-12-31,白喉 Diphtheria,0,白喉,Diphtheria
351,2023-01-31,白喉 Diphtheria,0,白喉,Diphtheria
352,2023-02-28,白喉 Diphtheria,0,白喉,Diphtheria
353,2023-03-31,白喉 Diphtheria,0,白喉,Diphtheria
354,2023-04-30,白喉 Diphtheria,0,白喉,Diphtheria
355,2023-05-31,白喉 Diphtheria,0,白喉,Diphtheria
356,2023-06-30,白喉 Diphtheria,1,白喉,Diphtheria
357,2023-07-31,白喉 Diphtheria,0,白喉,Diphtheria
358,2023-08-31,白喉 Diphtheria,0,白喉,Diphtheria
359,2023-09-30,白喉 Diphtheria,0,白喉,Diphtheria
360,2023-10-31,白喉 Diphtheria,0,白喉,Diphtheria
361,2023-11-30,白喉 Diphtheria,0,白喉,Diphtheria
362,2023-12-31,白喉 Diphtheria,0,白喉,Diphtheria
363,2024-01-31,白喉 Diphtheria,0,白喉,Diphtheria
364,2024-02-29,白喉 Diphtheria,0,白喉,Diphtheria
365,2024-03-31,白喉 Diphtheria,0,白喉,Diphtheria
366,2024-04-30,白喉 Diphtheria,0,白喉,Diphtheria
367,2024-05-31,白喉 Diphtheria,0,白喉,Diphtheria
368,2024-06-30,白喉 Diphtheria,0,白喉,Diphtheria
369,2024-07-31,白喉 Diphtheria,0,白喉,Diphtheria
370,2024-08-31,白喉 Diphtheria,0,白喉,Diphtheria
371,2024-09-30,白喉 Diphtheria,0,白喉,Diphtheria
372,2024-10-31,白喉 Diphtheria,0,白喉,Diphtheria
373,2024-11-30,白喉 Diphtheria,0,白喉,Diphtheria
374,2024-12-31,白喉 Diphtheria,0,白喉,Diphtheria
375,2025-01-01,白喉 Diphtheria,0,白喉,Diphtheria
376,2025-02-01,白喉 Diphtheria,0,白喉,Diphtheria
377,2025-03-01,白喉 Diphtheria,0,白喉,Diphtheria
378,2025-04-01,白喉 Diphtheria,0,白喉,Diphtheria
379,2025-05-01,白喉 Diphtheria,0,白喉,Diphtheria
380,2025-06-01,白喉 Diphtheria,0,白喉,Diphtheria
381,2025-07-01,白喉 Diphtheria,0,白喉,Diphtheria
382,2025-08-01,白喉 Diphtheria,0,白喉,Diphtheria
383,2025-09-01,白喉 Diphtheria,0,白喉,Diphtheria
384,2025-10-01,白喉 Diphtheria,0,白喉,Diphtheria
385,2025-11-01,白喉 Diphtheria,0,白喉,Diphtheria
386,2025-12-01,白喉 Diphtheria,0,白喉,Diphtheria
387,2026-01-01,白喉 Diphtheria,0,白喉,Diphtheria
388,2026-02-01,白喉 Diphtheria,0,白喉,Diphtheria
389,2026-03-01,白喉 Diphtheria,0,白喉,Diphtheria
390,2010-01-31,百日咳 Pertussis,88,百日咳,Pertussis
391,2010-02-28,百日咳 Pertussis,80,百日咳,Pertussis
392,2010-03-31,百日咳 Pertussis,128,百日咳,Pertussis
393,2010-04-30,百日咳 Pertussis,138,百日咳,Pertussis
394,2010-05-01,百日咳 Pertussis,190,百日咳,Pertussis
395,2010-06-01,百日咳 Pertussis,214,百日咳,Pertussis
396,2010-07-01,百日咳 Pertussis,256,百日咳,Pertussis
397,2010-08-01,百日咳 Pertussis,281,百日咳,Pertussis
398,2010-09-01,百日咳 Pertussis,150,百日咳,Pertussis
399,2010-10-01,百日咳 Pertussis,109,百日咳,Pertussis
400,2010-11-01,百日咳 Pertussis,95,百日咳,Pertussis
401,2010-12-01,百日咳 Pertussis,109,百日咳,Pertussis
402,2011-01-31,百日咳 Pertussis,99,百日咳,Pertussis
403,2011-02-01,百日咳 Pertussis,123,百日咳,Pertussis
404,2011-03-02,百日咳 Pertussis,207,百日咳,Pertussis
405,2011-04-03,百日咳 Pertussis,213,百日咳,Pertussis
406,2011-05-04,百日咳 Pertussis,311,百日咳,Pertussis
407,2011-06-05,百日咳 Pertussis,289,百日咳,Pertussis
408,2011-07-31,百日咳 Pertussis,318,百日咳,Pertussis
409,2011-08-31,百日咳 Pertussis,350,百日咳,Pertussis
410,2011-09-30,百日咳 Pertussis,216,百日咳,Pertussis
411,2011-10-31,百日咳 Pertussis,131,百日咳,Pertussis
412,2011-11-30,百日咳 Pertussis,161,百日咳,Pertussis
413,2011-12-31,百日咳 Pertussis,173,百日咳,Pertussis
